entity,Average life expectancy
USSR,32.7
South Sudan,37.84
Sierra Leone,43.19
Mali,43.76
Niger,44.19
East Timor,44.68
Nigeria,44.86
Chad,45.01
Central African Republic,45.08
Malawi,45.55
Angola,45.63
Afghanistan,45.67
Guinea-Bissau,46.58
Guinea,46.6
Mozambique,46.95
Burkina Faso,47.01
Liberia,47.11
Somalia,47.35
Ethiopia,47.52
Burundi,47.97
Democratic Republic of Congo,48.37
Gambia,48.71
Cote d'Ivoire,48.75
Eritrea,49.0
Low-income countries,49.09
Equatorial Guinea,49.54
Uganda,49.64
Africa,49.74
Benin,49.76
Cameroon,50.33
Rwanda,50.95
Senegal,51.05
Cambodia,51.21
Togo,51.87
Lesotho,51.95
Egypt,52.04
Yemen,52.07
Tanzania,52.11
Western Sahara,52.31
Eswatini,52.31
Haiti,52.36
Laos,52.61
India,52.66
Madagascar,52.66
Comoros,52.78
Zambia,52.9
Bolivia,53.09
Mexico,53.09
Djibouti,53.16
Bhutan,53.19
Nepal,53.23
Bangladesh,53.51
Ghana,53.63
United Kingdom,54.3
Kenya,54.49
Myanmar,54.55
Jamaica,54.72
Sweden,54.73
Zimbabwe,54.78
Pakistan,55.02
Namibia,55.14
Congo,55.2
Mauritania,55.47
Guatemala,55.58
Sudan,55.62
Papua New Guinea,55.97
France,56.18
Lower-middle-income countries,56.23
Mongolia,57.05
Gabon,57.26
Sao Tome and Principe,57.32
Botswana,57.33
Indonesia,57.37
South Africa,57.75
El Salvador,58.15
Algeria,58.26
Morocco,58.31
Kiribati,58.39
Nicaragua,58.41
Tuvalu,58.43
Maldives,58.93
World,58.93
Nauru,59.09
Asia,59.16
Belgium,59.24
Iceland,59.26
Honduras,59.51
Russia,59.7
Finland,59.74
Italy,60.07
Oman,60.14
North Korea,60.33
Iran,60.38
Tajikistan,60.56
Iraq,60.59
Guyana,60.68
Marshall Islands,60.71
Kazakhstan,60.85
Turkmenistan,60.87
Solomon Islands,60.97
Denmark,61.14
Micronesia (country),61.22
Tunisia,61.31
Azerbaijan,61.32
Libya,61.34
Vanuatu,61.57
Netherlands,61.59
Brazil,61.63
Palau,61.85
Falkland Islands,62.08
Cape Verde,62.1
Kyrgyzstan,62.2
Peru,62.25
Dominican Republic,62.28
China,62.34
Suriname,62.42
Kosovo,62.51
Greenland,62.63
Fiji,62.99
Palestine,63.0
Saudi Arabia,63.06
Thailand,63.11
Colombia,63.21
Turkey,63.28
Philippines,63.42
Wallis and Futuna,63.61
Uzbekistan,63.66
Upper-middle-income countries,63.8
Syria,63.92
Paraguay,63.92
Chile,63.95
South Korea,64.09
Norway,64.45
Cook Islands,64.55
Samoa,64.6
Spain,64.76
Mauritius,64.85
Saint Kitts and Nevis,64.96
Moldova,65.05
Venezuela,65.06
Niue,65.1
Ukraine,65.11
Ecuador,65.29
Sri Lanka,65.31
Vietnam,65.35
Jordan,65.43
Switzerland,65.43
Belize,65.59
Tonga,65.62
Argentina,65.64
Luxembourg,65.93
New Caledonia,65.99
Saint Vincent and the Grenadines,66.12
Trinidad and Tobago,66.14
Armenia,66.31
Saint Lucia,66.9
Cuba,67.24
French Guiana,67.24
Dominica,67.24
Tokelau,67.25
United States,67.3
Malaysia,67.51
Georgia,67.54
Seychelles,67.61
Turks and Caicos Islands,67.65
Bahrain,67.72
United Arab Emirates,67.8
Montserrat,67.94
Lebanon,68.02
Bosnia and Herzegovina,68.08
Mayotte,68.09
Brunei,68.21
Bulgaria,68.24
North Macedonia,68.33
Panama,68.42
Albania,68.77
Grenada,68.8
Hungary,68.84
United States Virgin Islands,68.87
Bahamas,68.91
American Samoa,68.94
Europe,69.23
Romania,69.24
Japan,69.35
Cayman Islands,69.43
Belarus,69.48
Latvia,69.66
Northern Mariana Islands,69.7
Anguilla,69.72
Costa Rica,69.79
Kuwait,69.9
Canada,69.91
British Virgin Islands,69.95
Portugal,70.11
Qatar,70.13
Aruba,70.15
Reunion,70.19
Greece,70.27
Estonia,70.31
Oceania,70.33
Serbia,70.5
Cyprus,70.6
Lithuania,70.61
Guam,70.62
French Polynesia,70.65
Barbados,70.77
Uruguay,70.79
Curacao,70.83
Slovakia,70.9
Poland,70.93
Guadeloupe,70.97
Czechia,71.16
Montenegro,71.33
Antigua and Barbuda,71.34
Croatia,71.43
Saint Pierre and Miquelon,71.43
Isle of Man,71.45
Austria,71.45
Sint Maarten (Dutch part),71.6
Saint Helena,71.8
Taiwan,71.88
Germany,71.89
Martinique,72.33
Australia,72.51
Saint Barthelemy,72.53
Slovenia,73.11
Singapore,73.13
Ireland,73.23
Puerto Rico,73.23
Bermuda,73.26
Bonaire Sint Eustatius and Saba,73.34
Saint Martin (French part),73.63
Macao,73.85
High-income countries,74.08
Malta,74.59
Jersey,75.16
New Zealand,75.25
Hong Kong,75.34
Faroe Islands,75.44
Vatican,75.57
Israel,75.6
Gibraltar,75.84
Liechtenstein,76.29
Guernsey,77.0
Andorra,77.99
San Marino,78.0
Monaco,78.05
